Name,GENC,Year,Population,Male Population,Female Population,Annual Growth Rate,Population Density,"Median Age, Both Sexes","Median Age, Females","Median Age, Males",Total Fertility Rate,"Life Expectancy at Birth, Both Sexes","Life Expectancy at Birth, Males","Life Expectancy at Birth, Females","Infant Mortality Rate, Both Sexes","Infant Mortality Rate, Male","Infant Mortality Rate, Female"
Oman,OM,2017,"3,415,807","1,854,470","1,561,337",2.02,11,25.7,24.4,26.8,2.82,75.7,73.7,77.8,16,17.3,14.6
Qatar,QA,2017,"2,316,205","1,790,957","525,248",2.28,199.9,33.2,28.1,34.3,1.91,78.8,76.8,80.9,7.2,7.8,6.6
Saudi Arabia,SA,2017,"32,567,388","18,400,901","14,166,487",1.7,15.1,29.5,26.8,31.6,2.11,75.5,74,77.1,13.7,15,12.4
United Arab Emirates,AE,2017,"9,543,192","6,815,420","2,727,772",1.07,114.2,34.4,29.7,35.7,1.69,78.6,77.3,79.9,5.6,6.2,5
Bahrain,BH,2018,"1,442,415","873,900","568,515",2.18,"1,897.90",32.5,29.8,34,1.73,79.2,76.9,81.5,11.1,12.9,9.2
Kuwait,KW,2018,"2,917,713","1,699,685","1,218,028",1.39,163.8,29.4,27.6,30.5,2.36,78.3,77,79.8,8,8.3,7.7
Oman,OM,2018,"3,485,106","1,888,696","1,596,410",2,11.3,25.9,24.6,27,2.8,75.9,74,78,15.7,17,14.3
Qatar,QA,2018,"2,365,810","1,829,050","536,760",1.96,204.2,33.4,28.2,34.6,1.91,79,76.9,81.1,7.1,7.7,6.5
Saudi Arabia,SA,2018,"33,119,193","18,721,060","14,398,133",1.66,15.4,29.9,27.2,32.1,2.07,75.7,74.2,77.3,13.5,14.7,12.1
United Arab Emirates,AE,2018,"9,638,206","6,826,809","2,811,397",0.91,115.3,34.7,29.9,36.2,1.68,78.8,77.5,80.2,5.5,6.1,4.9
Bahrain,BH,2019,"1,473,724","892,574","581,150",2.11,"1,939.10",32.7,30,34.2,1.71,79.3,77,81.7,10.9,12.7,9
Kuwait,KW,2019,"2,957,304","1,719,979","1,237,325",1.31,166,29.6,27.8,30.6,2.31,78.5,77.1,80,7.9,8.2,7.6
Oman,OM,2019,"3,554,839","1,923,219","1,631,620",1.97,11.5,26.2,24.9,27.1,2.78,76.2,74.2,78.2,15.4,16.7,14
Qatar,QA,2019,"2,409,287","1,861,783","547,504",1.68,207.9,33.6,28.2,34.8,1.91,79.2,77.1,81.4,7.1,7.7,6.4
Saudi Arabia,SA,2019,"33,670,051","19,039,380","14,630,671",1.64,15.7,30.3,27.5,32.5,2.02,75.9,74.4,77.6,13.2,14.5,11.8
United Arab Emirates,AE,2019,"9,720,156","6,830,744","2,889,412",0.78,116.3,35,30,36.6,1.67,79,77.7,80.4,5.4,6,4.8
Bahrain,BH,2020,"1,504,665","910,960","593,705",2.04,"1,979.80",32.9,30.3,34.4,1.69,79.5,77.2,81.8,10.8,12.6,9
Kuwait,KW,2020,"2,995,271","1,739,261","1,256,010",1.24,168.1,29.7,28,30.7,2.26,78.7,77.2,80.2,7.8,8.1,7.4
Oman,OM,2020,"3,624,823","1,957,942","1,666,881",1.93,11.7,26.4,25.2,27.3,2.76,76.4,74.4,78.4,15.1,16.4,13.7
Qatar,QA,2020,"2,447,179","1,889,665","557,514",1.44,211.2,33.8,28.2,35,1.9,79.3,77.2,81.5,7,7.6,6.3
Saudi Arabia,SA,2020,"34,223,743","19,358,570","14,865,173",1.62,15.9,30.8,27.9,33,1.99,76.2,74.6,77.8,12.9,14.2,11.5
United Arab Emirates,AE,2020,"9,792,173","6,829,988","2,962,185",0.69,117.1,35.2,30,37,1.66,79.2,77.9,80.6,5.3,5.9,4.7
Bahrain,BH,2021,"1,526,929","923,055","603,874",0.9,"2,009.10",33.1,30.5,34.5,1.68,79.7,77.4,82,10.5,12.3,8.7
Kuwait,KW,2021,"3,032,065","1,757,787","1,274,278",1.2,170.2,29.8,28.2,30.8,2.25,78.9,77.4,80.4,7.6,7.9,7.3
Oman,OM,2021,"3,694,755","1,992,711","1,702,044",1.89,11.9,26.6,25.5,27.5,2.73,76.6,74.7,78.7,14.8,16.1,13.4
Qatar,QA,2021,"2,479,995","1,913,169","566,826",1.23,214.1,33.9,28.1,35.2,1.9,79.6,77.5,81.7,6.7,7.3,6.1
Saudi Arabia,SA,2021,"34,783,757","19,681,274","15,102,483",1.62,16.2,31.2,28.3,33.4,1.95,76.4,74.8,78.1,12.6,13.9,11.2
United Arab Emirates,AE,2021,"9,856,612","6,826,721","3,029,891",0.62,117.9,35.4,30,37.3,1.65,79.4,78,80.8,5.3,5.8,4.7
Bahrain,BH,2022,"1,540,558","928,907","611,651",0.88,"2,027.00",33.2,30.7,34.6,1.67,79.9,77.6,82.2,10.2,12,8.4
Kuwait,KW,2022,"3,068,155","1,775,823","1,292,332",1.17,172.2,30,28.4,30.9,2.24,79.1,77.7,80.7,7.4,7.8,7.1
Oman,OM,2022,"3,764,348","2,027,380","1,736,968",1.84,12.2,26.8,25.7,27.7,2.7,76.9,75,78.9,14.5,15.7,13.1
Qatar,QA,2022,"2,508,182","1,932,701","575,481",1.04,216.5,34.1,28.1,35.4,1.9,79.8,77.7,82,6.6,7.3,6
Saudi Arabia,SA,2022,"35,354,380","20,010,572","15,343,808",1.63,16.4,31.6,28.6,33.8,1.92,76.7,75.1,78.3,12.3,13.5,11
United Arab Emirates,AE,2022,"9,915,803","6,822,998","3,092,805",0.58,118.6,35.6,29.9,37.6,1.64,79.6,78.2,81,5.1,5.7,4.5
Bahrain,BH,2023,"1,553,886","934,567","619,319",0.85,"2,044.60",33.3,31,34.6,1.66,80.1,77.9,82.5,10,11.7,8.3
Kuwait,KW,2023,"3,103,580","1,793,401","1,310,179",1.13,174.2,30.1,28.6,31,2.22,79.4,77.9,80.9,7.3,7.6,7
Oman,OM,2023,"3,833,465","2,061,873","1,771,592",1.8,12.4,27.1,26,27.9,2.67,77.2,75.2,79.2,14.2,15.4,12.9
Qatar,QA,2023,"2,532,104","1,948,591","583,513",0.86,218.5,34.2,28.1,35.5,1.9,80,77.9,82.2,6.5,7.1,5.9
Saudi Arabia,SA,2023,"35,939,806","20,349,411","15,590,395",1.65,16.7,32,29,34.2,1.89,76.9,75.3,78.6,12,13.2,10.7
United Arab Emirates,AE,2023,"9,973,449","6,821,526","3,151,923",0.58,119.3,35.7,29.9,37.9,1.62,79.8,78.4,81.2,5.1,5.6,4.5
Bahrain,BH,2024,"1,566,888","940,022","626,866",0.82,"2,061.70",33.4,31.2,34.6,1.65,80.4,78.1,82.7,9.7,11.3,8
Kuwait,KW,2024,"3,138,355","1,810,542","1,327,813",1.1,176.1,30.3,28.9,31.1,2.21,79.6,78.1,81.1,7.2,7.4,6.9
Oman,OM,2024,"3,901,992","2,096,126","1,805,866",1.75,12.6,27.3,26.3,28.1,2.64,77.4,75.5,79.4,13.9,15.1,12.6
